WigleWifi-1.4,appRelease=2.26,model=Redmi Note 4,release=6.0,device=nikel,display=MRA58K,board=unknown,brand=Xiaomi
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:16:06:3c,Ariel_University,[ESS],2017-11-08 12:58:21,36,-76,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
1c:b9:c4:14:2b:1c,Ariel_University,[ESS],2017-11-08 12:58:21,36,-83,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
1c:b9:c4:14:2b:18,Ariel_University,[ESS],2017-11-08 12:58:21,11,-76,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
1c:b9:c4:15:36:8c,Ariel_University,[ESS],2017-11-08 12:58:21,44,-91,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
1c:b9:c4:16:06:38,Ariel_University,[ESS],2017-11-08 12:58:21,6,-73,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
ec:8c:a2:08:94:58,Ariel_University,[ESS],2017-11-08 12:58:21,1,-72,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
1c:b9:c4:15:36:88,Ariel_University,[ESS],2017-11-08 12:58:21,6,-80,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
ec:8c:a2:08:94:5c,Ariel_University,[ESS],2017-11-08 12:58:21,44,-86,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
ec:8c:a2:08:4e:fc,Ariel_University,[ESS],2017-11-08 12:58:21,36,-92,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
24:c9:a1:36:52:f8,Ariel_University,[ESS],2017-11-08 12:58:21,1,-85,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
ec:8c:a2:09:8c:78,Ariel_University,[ESS],2017-11-08 12:58:21,1,-84,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
ec:8c:a2:08:4e:f8,Ariel_University,[ESS],2017-11-08 12:58:21,6,-83,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
24:c9:a1:36:59:e8,Ariel_University,[ESS],2017-11-08 12:58:21,11,-82,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
1c:b9:c4:96:06:37,,[WPA2-PSK-CCMP][ESS],2017-11-08 12:58:21,36,-79,32.10287,35.2058316666667,210.6,6.90000009536743,WIFI
42501_7211_3084804,012 Mobile,UNKNOWN;il,2017-11-08 12:58:21,0,-113,32.10287,35.2058316666667,210.6,6.90000009536743,GSM
1c:b9:c4:16:06:3c,Ariel_University,[ESS],2017-11-08 12:58:34,36,-75,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
1c:b9:c4:14:2b:1c,Ariel_University,[ESS],2017-11-08 12:58:34,36,-83,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
1c:b9:c4:14:2b:18,Ariel_University,[ESS],2017-11-08 12:58:34,11,-76,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
1c:b9:c4:15:36:8c,Ariel_University,[ESS],2017-11-08 12:58:34,44,-91,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
1c:b9:c4:16:06:38,Ariel_University,[ESS],2017-11-08 12:58:34,6,-73,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
ec:8c:a2:08:94:58,Ariel_University,[ESS],2017-11-08 12:58:34,1,-72,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
1c:b9:c4:15:36:88,Ariel_University,[ESS],2017-11-08 12:58:34,6,-80,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
ec:8c:a2:08:94:5c,Ariel_University,[ESS],2017-11-08 12:58:34,44,-86,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
ec:8c:a2:08:4e:fc,Ariel_University,[ESS],2017-11-08 12:58:34,36,-94,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
24:c9:a1:36:52:f8,Ariel_University,[ESS],2017-11-08 12:58:34,1,-85,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
ec:8c:a2:09:8c:78,Ariel_University,[ESS],2017-11-08 12:58:34,1,-84,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
ec:8c:a2:08:4e:f8,Ariel_University,[ESS],2017-11-08 12:58:34,6,-83,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
24:c9:a1:36:59:e8,Ariel_University,[ESS],2017-11-08 12:58:34,11,-82,32.1039716666667,35.2064666666667,691.2,7.19999980926514,WIFI
42501_7211_3084804,012 Mobile,UNKNOWN;il,2017-11-08 12:58:34,0,-113,32.1039716666667,35.2064666666667,691.2,7.19999980926514,GSM
1c:b9:c4:14:2b:18,Ariel_University,[ESS],2017-11-08 13:01:30,11,-67,32.1034633333333,35.2056133333333,691.4,8.89999961853027,WIFI
1c:b9:c4:15:36:8c,Ariel_University,[ESS],2017-11-08 13:01:30,44,-86,32.1034633333333,35.2056133333333,691.4,8.89999961853027,WIFI
1c:b9:c4:15:36:88,Ariel_University,[ESS],2017-11-08 13:01:30,6,-75,32.1034633333333,35.2056133333333,691.4,8.89999961853027,WIFI
ec:8c:a2:08:4e:fc,Ariel_University,[ESS],2017-11-08 13:01:30,36,-89,32.1034633333333,35.2056133333333,691.4,8.89999961853027,WIFI
ec:8c:a2:88:4e:f7,,[WPA2-PSK-CCMP][ESS],2017-11-08 13:01:30,36,-87,32.1034633333333,35.2056133333333,691.4,8.89999961853027,WIFI
1c:b9:c4:16:06:3c,Ariel_University,[ESS],1970-01-01 02:00:00,36,-76,32.1046026190476,35.2077526190476,0,111.152801513672,WIFI
1c:b9:c4:14:2b:1c,Ariel_University,[ESS],1970-01-01 02:00:00,36,-81,32.1046026190476,35.2077526190476,0,111.152801513672,WIFI
1c:b9:c4:14:2b:18,Ariel_University,[ESS],1970-01-01 02:00:00,11,-72,32.1046026190476,35.2077526190476,0,111.152801513672,WIFI
1c:b9:c4:15:36:8c,Ariel_University,[ESS],1970-01-01 02:00:00,44,-86,32.1046026190476,35.2077526190476,0,111.152801513672,WIFI
